"filename", "language", "JSON", "Markdown", "JSON with Comments", "JavaScript", "HTML", "SCSS", "TypeScript", "vue", "XML", "comment", "blank", "total"
"e:\proyecto_renacer2024\frontend_renacer\src\pages\Cliente.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"e:\proyecto_renacer2024\frontend_renacer\src\pages\Compra.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"e:\proyecto_renacer2024\frontend_renacer\src\pages\ErrorNotFound.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 4, 30
"e:\proyecto_renacer2024\frontend_renacer\src\pages\IndexPage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"e:\proyecto_renacer2024\frontend_renacer\src\pages\LoginPage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 10, 138
"e:\proyecto_renacer2024\frontend_renacer\src\pages\Medicamento.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"e:\proyecto_renacer2024\frontend_renacer\src\pages\Menu.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"e:\proyecto_renacer2024\frontend_renacer\src\pages\Nombre.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"e:\proyecto_renacer2024\frontend_renacer\src\pages\Presentacion.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"e:\proyecto_renacer2024\frontend_renacer\src\pages\Proveedores.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"e:\proyecto_renacer2024\frontend_renacer\src\pages\Reportes.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 10, 172
"e:\proyecto_renacer2024\frontend_renacer\src\pages\Roles.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"e:\proyecto_renacer2024\frontend_renacer\src\pages\Usuario.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"e:\proyecto_renacer2024\frontend_renacer\src\pages\Ventas.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 288, 0, 0, 16, 304
"e:\proyecto_renacer2024\frontend_renacer\src\pages\Ventas2.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 380, 0, 0, 27, 407
"e:\proyecto_renacer2024\frontend_renacer\src\router\index.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 11, 6, 31
"e:\proyecto_renacer2024\frontend_renacer\src\router\routes.js", "JavaScript", 0, 0, 0, 125, 0, 0, 0, 0, 0, 8, 10, 143
"e:\proyecto_renacer2024\frontend_renacer\src\stores\example-store.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"e:\proyecto_renacer2024\frontend_renacer\src\stores\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 10, 5, 21
"e:\proyecto_renacer2024\frontend_renacer\src\stores\store-flag.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 2, 11
"Total", "-", 39, 30, 39, 307, 18, 10, 6, 5764, 15, 206, 689, 7123
